ped_codigo,ped_codMunicipio,ped_anio,ped_poblacion_escolar,ped_num_poblacion_escolar
734,41791,2010,1,432
735,41799,2010,1,344
736,41801,2010,1,188
737,41797,2010,1,210
738,41807,2010,1,443
739,41872,2010,1,147
740,41885,2010,1,149
741,41006,2010,2,3784
742,41013,2010,2,1034
743,41016,2010,2,2519
744,41020,2010,2,2628
745,41026,2010,2,454
746,41078,2010,2,1026
747,41132,2010,2,3411
748,41206,2010,2,1247
749,41244,2010,2,429
750,41298,2010,2,9102
751,41306,2010,2,3308
752,41319,2010,2,2247
753,41349,2010,2,710
754,41357,2010,2,1208
755,41359,2010,2,2893
756,41378,2010,2,1567
757,41396,2010,2,6845
758,41483,2010,2,702
759,41001,2010,2,29517
760,41503,2010,2,1729
761,41518,2010,2,644
762,41524,2010,2,3135
763,41530,2010,2,1248
764,41548,2010,2,1494
765,41551,2010,2,12737
766,41615,2010,2,1717
767,41660,2010,2,1395
768,41668,2010,2,3255
769,41676,2010,2,1213
770,41770,2010,2,1908
771,41791,2010,2,2080
772,41799,2010,2,1696
773,41801,2010,2,928
774,41797,2010,2,952
775,41807,2010,2,2297
776,41872,2010,2,842
777,41885,2010,2,762
778,41006,2010,3,2959
779,41013,2010,3,831
780,41016,2010,3,2011
781,41020,2010,3,1987
782,41026,2010,3,372
783,41078,2010,3,843
784,41132,2010,3,2799
785,41206,2010,3,1058
786,41244,2010,3,339
787,41298,2010,3,7307
788,41306,2010,3,2620
789,41319,2010,3,1780
790,41349,2010,3,558
791,41357,2010,3,1015
792,41359,2010,3,2374
793,41378,2010,3,1231
794,41396,2010,3,5427
795,41483,2010,3,609
796,41001,2010,3,25990
797,41503,2010,3,1315
798,41518,2010,3,515
799,41524,2010,3,2473
800,41530,2010,3,1033
801,41548,2010,3,1227
802,41551,2010,3,10445
803,41615,2010,3,1371
804,41660,2010,3,1053
805,41668,2010,3,2826
806,41676,2010,3,959
807,41770,2010,3,1515
808,41791,2010,3,1544
809,41799,2010,3,1330
810,41801,2010,3,726
811,41797,2010,3,773
812,41807,2010,3,1887
813,41872,2010,3,656
814,41885,2010,3,671
815,41006,2010,4,1360
816,41013,2010,4,403
817,41016,2010,4,1038
818,41020,2010,4,977
819,41026,2010,4,182
820,41078,2010,4,431
821,41132,2010,4,1387
822,41206,2010,4,535
823,41244,2010,4,170
824,41298,2010,4,3593
825,41306,2010,4,1399
826,41319,2010,4,896
827,41349,2010,4,294
828,41357,2010,4,514
829,41359,2010,4,1128
830,41378,2010,4,570
831,41396,2010,4,2596
832,41483,2010,4,295
833,41001,2010,4,13222
834,41503,2010,4,568
835,41518,2010,4,226
836,41524,2010,4,1231
837,41530,2010,4,504
838,41548,2010,4,593
839,41551,2010,4,5143
840,41615,2010,4,724
841,41660,2010,4,479
842,41668,2010,4,1444
843,41676,2010,4,480
844,41770,2010,4,764
845,41791,2010,4,728
846,41799,2010,4,641
847,41801,2010,4,350
848,41797,2010,4,402
849,41807,2010,4,907
850,41872,2010,4,321
851,41885,2010,4,350
