dou_codig,dou_anio,dou_universidad,dou_semestre,dou_nivel_educacion_superior,dou_programa,dou_categoria_personalU,dou_genero,dou_num_personalU
626,2013,5,2,5,100,3,1,1
627,2013,5,2,5,102,3,1,0
628,2013,5,2,5,84,3,1,4
629,2013,5,2,5,1,3,2,7
630,2013,5,2,5,82,3,2,0
631,2013,5,2,5,35,3,2,1
632,2013,5,2,5,6,3,2,3
633,2013,5,2,5,46,3,2,2
634,2013,5,2,5,100,3,2,2
635,2013,5,2,5,102,3,2,0
636,2013,5,2,5,84,3,2,0
637,2013,6,1,5,,1,1,0
638,2013,6,1,5,,1,2,0
639,2013,6,1,5,,2,1,0
640,2013,6,1,5,,2,2,0
641,2013,6,1,5,,3,1,24
642,2013,6,1,5,,3,2,8
643,2013,6,2,5,,1,1,0
644,2013,6,2,5,,1,2,0
645,2013,6,2,5,,2,1,0
646,2013,6,2,5,,2,2,0
647,2013,6,2,5,,3,1,21
648,2013,6,2,5,,3,2,7
649,2013,7,1,6,227,1,1,0
650,2013,7,1,6,228,1,1,0
651,2013,7,1,6,227,1,2,0
652,2013,7,1,6,228,1,2,0
653,2013,7,1,6,227,2,1,0
654,2013,7,1,6,228,2,1,0
655,2013,7,1,6,227,2,2,0
656,2013,7,1,6,228,2,2,0
657,2013,7,1,6,227,3,1,13
658,2013,7,1,6,228,3,1,4
659,2013,7,1,6,227,3,2,1
660,2013,7,1,6,228,3,2,2
661,2013,7,2,6,227,1,1,0
662,2013,7,2,6,228,1,1,0
663,2013,7,2,6,227,1,2,0
664,2013,7,2,6,228,1,2,0
665,2013,7,2,6,227,2,1,0
666,2013,7,2,6,228,2,1,0
667,2013,7,2,6,227,2,2,0
668,2013,7,2,6,228,2,2,0
669,2013,7,2,6,227,3,1,6
670,2013,7,2,6,228,3,1,1
671,2013,7,2,6,227,3,2,2
672,2013,7,2,6,228,3,2,0
673,2013,8,1,6,,1,1,1
674,2013,8,1,6,,1,2,1
675,2013,8,1,6,,2,1,0
676,2013,8,1,6,,2,2,0
677,2013,8,1,6,,3,1,38
678,2013,8,1,6,,3,2,3
679,2013,8,2,6,,1,1,1
680,2013,8,2,6,,1,2,1
681,2013,8,2,6,,2,1,0
682,2013,8,2,6,,2,2,0
683,2013,8,2,6,,3,1,38
684,2013,8,2,6,,3,2,3
685,2013,10,1,5,27,1,1,0
686,2013,10,1,5,28,1,1,0
687,2013,10,1,5,30,1,1,0
688,2013,10,1,5,141,1,1,0
689,2013,10,1,5,142,1,1,0
690,2013,10,1,5,143,1,1,0
691,2013,10,1,5,144,1,1,0
692,2013,10,1,5,145,1,1,0
693,2013,10,1,5,146,1,1,0
694,2013,10,1,5,147,1,1,0
695,2013,10,1,5,148,1,1,0
696,2013,10,1,5,149,1,1,0
697,2013,10,1,5,1,1,1,0
698,2013,10,1,5,81,1,1,0
699,2013,10,1,5,150,1,1,0
700,2013,10,1,5,27,1,2,0
701,2013,10,1,5,28,1,2,0
702,2013,10,1,5,30,1,2,0
703,2013,10,1,5,141,1,2,0
704,2013,10,1,5,142,1,2,0
705,2013,10,1,5,143,1,2,0
706,2013,10,1,5,144,1,2,0
707,2013,10,1,5,145,1,2,0
708,2013,10,1,5,146,1,2,0
709,2013,10,1,5,147,1,2,0
710,2013,10,1,5,148,1,2,0
711,2013,10,1,5,149,1,2,0
712,2013,10,1,5,1,1,2,0
713,2013,10,1,5,81,1,2,0
714,2013,10,1,5,150,1,2,0
715,2013,10,1,5,27,3,1,1
716,2013,10,1,5,28,3,1,0
717,2013,10,1,5,30,3,1,1
718,2013,10,1,5,141,3,1,0
719,2013,10,1,5,142,3,1,1
