runi_codigo,runi_anio,runi_universidad,runi_semestre,runi_nivel_educacion_superior,runi_programa,runi_categoria_registro,runi_genero,runi_num_personas
596,2013,2,1,5,45,1,2,136
597,2013,2,1,5,34,1,2,34
598,2013,2,1,5,20,1,2,0
599,2013,2,1,5,35,1,2,0
600,2013,2,1,5,47,1,2,0
601,2013,2,1,6,48,1,2,64
602,2013,2,1,6,49,1,2,37
603,2013,2,2,5,1,1,1,0
604,2013,2,2,5,6,1,1,8
605,2013,2,2,5,44,1,1,5
606,2013,2,2,5,41,1,1,59
607,2013,2,2,5,45,1,1,105
608,2013,2,2,5,34,1,1,9
609,2013,2,2,5,20,1,1,0
610,2013,2,2,5,35,1,1,0
611,2013,2,2,5,47,1,1,0
612,2013,2,2,6,48,1,1,0
613,2013,2,2,6,49,1,1,7
614,2013,2,2,5,1,1,2,4
615,2013,2,2,5,6,1,2,12
616,2013,2,2,5,44,1,2,4
617,2013,2,2,5,41,1,2,33
618,2013,2,2,5,45,1,2,63
619,2013,2,2,5,34,1,2,35
620,2013,2,2,5,20,1,2,0
621,2013,2,2,5,35,1,2,0
622,2013,2,2,5,47,1,2,0
623,2013,2,2,6,48,1,2,0
624,2013,2,2,6,49,1,2,26
625,2013,2,1,5,1,2,1,2
626,2013,2,1,5,6,2,1,17
627,2013,2,1,5,44,2,1,28
628,2013,2,1,5,41,2,1,58
629,2013,2,1,5,45,2,1,162
630,2013,2,1,5,34,2,1,25
631,2013,2,1,5,20,2,1,0
632,2013,2,1,5,35,2,1,0
633,2013,2,1,5,47,2,1,20
634,2013,2,1,6,48,2,1,9
635,2013,2,1,6,49,2,1,6
636,2013,2,1,5,1,2,2,3
637,2013,2,1,5,6,2,2,17
638,2013,2,1,5,44,2,2,11
639,2013,2,1,5,41,2,2,86
640,2013,2,1,5,45,2,2,111
641,2013,2,1,5,34,2,2,1
642,2013,2,1,5,20,2,2,0
643,2013,2,1,5,35,2,2,0
644,2013,2,1,5,47,2,2,0
645,2013,2,1,6,48,2,2,25
646,2013,2,1,6,49,2,2,32
647,2013,2,2,5,1,2,1,0
648,2013,2,2,5,6,2,1,6
649,2013,2,2,5,44,2,1,3
650,2013,2,2,5,41,2,1,24
651,2013,2,2,5,45,2,1,85
652,2013,2,2,5,34,2,1,9
653,2013,2,2,5,20,2,1,0
654,2013,2,2,5,35,2,1,0
655,2013,2,2,5,47,2,1,0
656,2013,2,2,6,48,2,1,0
657,2013,2,2,6,49,2,1,3
658,2013,2,2,5,1,2,2,0
659,2013,2,2,5,6,2,2,11
660,2013,2,2,5,44,2,2,5
661,2013,2,2,5,41,2,2,40
662,2013,2,2,5,45,2,2,44
663,2013,2,2,5,34,2,2,22
664,2013,2,2,5,20,2,2,0
665,2013,2,2,5,35,2,2,0
666,2013,2,2,5,47,2,2,1
667,2013,2,2,6,48,2,2,0
668,2013,2,2,6,49,2,2,20
669,2013,2,1,5,1,3,1,17
670,2013,2,1,5,6,3,1,45
671,2013,2,1,5,44,3,1,142
672,2013,2,1,5,41,3,1,489
673,2013,2,1,5,45,3,1,353
674,2013,2,1,5,34,3,1,19
675,2013,2,1,5,20,3,1,125
676,2013,2,1,5,35,3,1,0
677,2013,2,1,5,47,3,1,41
678,2013,2,1,6,48,3,1,9
679,2013,2,1,6,49,3,1,6
680,2013,2,1,5,1,3,2,17
681,2013,2,1,5,6,3,2,95
682,2013,2,1,5,44,3,2,44
683,2013,2,1,5,41,3,2,669
684,2013,2,1,5,45,3,2,474
685,2013,2,1,5,34,3,2,229
686,2013,2,1,5,20,3,2,42
687,2013,2,1,5,35,3,2,0
688,2013,2,1,5,47,3,2,1
689,2013,2,1,6,48,3,2,26
690,2013,2,1,6,49,3,2,36
691,2013,2,2,5,1,3,1,15
692,2013,2,2,5,6,3,1,85
693,2013,2,2,5,44,3,1,36
694,2013,2,2,5,41,3,1,668
695,2013,2,2,5,45,3,1,351
696,2013,2,2,5,34,3,1,28
697,2013,2,2,5,20,3,1,31
698,2013,2,2,5,35,3,1,0
699,2013,2,2,5,47,3,1,1
700,2013,2,2,6,48,3,1,9
701,2013,2,2,6,49,3,1,9
702,2013,2,2,5,1,3,2,12
703,2013,2,2,5,6,3,2,42
704,2013,2,2,5,44,3,2,116
705,2013,2,2,5,41,3,2,464
706,2013,2,2,5,45,3,2,495
707,2013,2,2,5,34,3,2,232
708,2013,2,2,5,20,3,2,89
709,2013,2,2,5,35,3,2,0
710,2013,2,2,5,47,3,2,28
711,2013,2,2,6,48,3,2,25
712,2013,2,2,6,49,3,2,50
713,2013,2,1,5,1,4,1,0
714,2013,2,1,5,6,4,1,1
715,2013,2,1,5,44,4,1,11
716,2013,2,1,5,41,4,1,18
717,2013,2,1,5,45,4,1,7
718,2013,2,1,5,34,4,1,1
719,2013,2,1,5,20,4,1,17
720,2013,2,1,5,35,4,1,1
721,2013,2,1,5,47,4,1,0
722,2013,2,1,6,48,4,1,1
723,2013,2,1,6,49,4,1,3
724,2013,2,1,5,1,4,2,2
