arco_codigo,arco_codMunicipio,arco_codCultivo,arco_anio,arco_semestre,arco_HasTotalPlantada,arco_HasNuevas,arco_HasRenovadas,arco_HasCosechadas,arco_toneladasProduccion,arco_rendimiento,arco_precioProductor,arco_precioPromedioProduccion,arco_costoPromedioEstablecimiento,arco_costoPromedioSostenimiento
,41001,15,2015,,13.50,,,10.50,84.00,,,,,
,41503,15,2015,,0.00,,,0.00,0.00,,,,,
,41518,15,2015,,0.00,,,0.00,0.00,,,,,
,41524,15,2015,,4.00,,,4.00,28.00,,,,,
,41530,15,2015,,0.00,,,0.00,0.00,,,,,
,41548,15,2015,,0.00,,,0.00,0.00,,,,,
,41551,15,2015,,0.00,,,0.00,0.00,,,,,
,41615,15,2015,,95.00,,,82.00,656.00,,,,,
,41660,15,2015,,0.00,,,0.00,0.00,,,,,
,41668,15,2015,,0.00,,,0.00,0.00,,,,,
,41676,15,2015,,1.50,,,1.50,12.00,,,,,
,41770,15,2015,,2.00,,,2.00,16.00,,,,,
,41791,15,2015,,0.00,,,0.00,0.00,,,,,
,41799,15,2015,,1.50,,,1.50,12.00,,,,,
,41801,15,2015,,2.50,,,2.50,20.00,,,,,
,41797,15,2015,,0.00,,,0.00,0.00,,,,,
,41807,15,2015,,0.00,,,0.00,0.00,,,,,
,41872,15,2015,,0.75,,,0.00,0.00,,,,,
,41885,15,2015,,0.00,,,0.00,0.00,,,,,
,41006,14,2015,,0.00,,,0.00,0.00,,,,,
,41013,14,2015,,37.00,,,37.00,229.50,,,,,
,41016,14,2015,,41.00,,,41.00,232.00,,,,,
,41020,14,2015,,26.00,,,26.00,150.00,,,,,
,41026,14,2015,,42.50,,,42.50,229.50,,,,,
,41078,14,2015,,23.50,,,23.50,143.50,,,,,
,41132,14,2015,,43.00,,,43.00,188.50,,,,,
,41206,14,2015,,20.50,,,20.50,93.00,,,,,
,41244,14,2015,,3.00,,,3.00,21.00,,,,,
,41298,14,2015,,146.00,,,146.00,1107.00,,,,,
,41306,14,2015,,171.00,,,171.00,1143.00,,,,,
,41319,14,2015,,54.00,,,54.00,400.00,,,,,
,41349,14,2015,,7.50,,,7.50,44.00,,,,,
,41357,14,2015,,0.00,,,0.00,0.00,,,,,
,41359,14,2015,,20.00,,,20.00,140.00,,,,,
,41378,14,2015,,20.00,,,20.00,112.00,,,,,
,41396,14,2015,,58.75,,,58.75,159.25,,,,,
,41483,14,2015,,18.00,,,18.00,70.00,,,,,
,41001,14,2015,,119.00,,,119.00,721.00,,,,,
,41503,14,2015,,9.00,,,9.00,21.00,,,,,
,41518,14,2015,,111.00,,,111.00,672.00,,,,,
,41524,14,2015,,13.00,,,13.00,84.00,,,,,
,41530,14,2015,,5.00,,,5.00,30.00,,,,,
,41548,14,2015,,44.00,,,44.00,144.00,,,,,
,41551,14,2015,,49.00,,,49.00,252.00,,,,,
,41615,14,2015,,46.50,,,46.50,220.50,,,,,
,41660,14,2015,,9.00,,,9.00,18.00,,,,,
,41668,14,2015,,6.50,,,6.50,42.25,,,,,
,41676,14,2015,,8.00,,,8.00,60.00,,,,,
,41770,14,2015,,22.00,,,22.00,200.00,,,,,
,41791,14,2015,,21.00,,,21.00,64.00,,,,,
,41799,14,2015,,45.00,,,45.00,352.00,,,,,
