nac_codigo,nac_codMunicipio,nac_anio,nac_codArea,nac_genero,nac_numero_nacimientos
396,41615,2015,4,1,0
397,41660,2015,4,1,0
398,41668,2015,4,1,0
399,41676,2015,4,1,0
400,41770,2015,4,1,0
401,41791,2015,4,1,0
402,41799,2015,4,1,0
403,41801,2015,4,1,0
404,41797,2015,4,1,0
405,41807,2015,4,1,1
406,41872,2015,4,1,0
407,41885,2015,4,1,0
408,41006,2015,3,2,2
409,41013,2015,3,2,0
410,41016,2015,3,2,1
411,41020,2015,3,2,3
412,41026,2015,3,2,0
413,41078,2015,3,2,1
414,41132,2015,3,2,0
415,41206,2015,3,2,0
416,41244,2015,3,2,0
417,41298,2015,3,2,2
418,41306,2015,3,2,1
419,41319,2015,3,2,0
420,41349,2015,3,2,1
421,41357,2015,3,2,17
422,41359,2015,3,2,0
423,41378,2015,3,2,4
424,41396,2015,3,2,22
425,41483,2015,3,2,6
426,41001,2015,3,2,1
427,41503,2015,3,2,2
428,41518,2015,3,2,0
429,41524,2015,3,2,0
430,41530,2015,3,2,1
431,41548,2015,3,2,1
432,41551,2015,3,2,2
433,41615,2015,3,2,0
434,41660,2015,3,2,2
435,41668,2015,3,2,2
436,41676,2015,3,2,1
437,41770,2015,3,2,2
438,41791,2015,3,2,0
439,41799,2015,3,2,0
440,41801,2015,3,2,0
441,41797,2015,3,2,3
442,41807,2015,3,2,0
443,41872,2015,3,2,0
444,41885,2015,3,2,0
445,41006,2015,3,1,2
446,41013,2015,3,1,0
447,41016,2015,3,1,1
448,41020,2015,3,1,4
449,41026,2015,3,1,0
450,41078,2015,3,1,0
451,41132,2015,3,1,0
452,41206,2015,3,1,6
453,41244,2015,3,1,0
454,41298,2015,3,1,4
455,41306,2015,3,1,0
456,41319,2015,3,1,1
457,41349,2015,3,1,0
458,41357,2015,3,1,12
459,41359,2015,3,1,2
460,41378,2015,3,1,5
461,41396,2015,3,1,28
462,41483,2015,3,1,5
463,41001,2015,3,1,2
464,41503,2015,3,1,1
465,41518,2015,3,1,0
466,41524,2015,3,1,0
467,41530,2015,3,1,0
468,41548,2015,3,1,2
469,41551,2015,3,1,3
470,41615,2015,3,1,0
471,41660,2015,3,1,0
472,41668,2015,3,1,2
473,41676,2015,3,1,0
474,41770,2015,3,1,0
475,41791,2015,3,1,1
476,41799,2015,3,1,0
477,41801,2015,3,1,0
478,41797,2015,3,1,2
479,41807,2015,3,1,1
480,41872,2015,3,1,0
481,41885,2015,3,1,0
482,41006,2014,5,2,5
483,41013,2014,5,2,7
484,41016,2014,5,2,23
485,41020,2014,5,2,16
486,41026,2014,5,2,0
487,41078,2014,5,2,8
488,41132,2014,5,2,39
489,41206,2014,5,2,2
490,41244,2014,5,2,0
491,41298,2014,5,2,581
492,41306,2014,5,2,15
493,41319,2014,5,2,14
494,41349,2014,5,2,19
495,41357,2014,5,2,3
496,41359,2014,5,2,2
497,41378,2014,5,2,12
498,41396,2014,5,2,325
499,41483,2014,5,2,7
500,41001,2014,5,2,3957
501,41503,2014,5,2,3
502,41518,2014,5,2,6
503,41524,2014,5,2,13
504,41530,2014,5,2,2
505,41548,2014,5,2,8
506,41551,2014,5,2,934
507,41615,2014,5,2,10
508,41660,2014,5,2,3
509,41668,2014,5,2,7
510,41676,2014,5,2,2
511,41770,2014,5,2,4
512,41791,2014,5,2,12
513,41799,2014,5,2,5
514,41801,2014,5,2,7
515,41797,2014,5,2,15
516,41807,2014,5,2,2
517,41872,2014,5,2,1
518,41885,2014,5,2,8
519,41006,2014,5,1,3
520,41013,2014,5,1,8
521,41016,2014,5,1,19
522,41020,2014,5,1,17
523,41026,2014,5,1,0
524,41078,2014,5,1,11
525,41132,2014,5,1,50
526,41206,2014,5,1,5
527,41244,2014,5,1,0
528,41298,2014,5,1,594
529,41306,2014,5,1,22
530,41319,2014,5,1,17
531,41349,2014,5,1,20
532,41357,2014,5,1,8
533,41359,2014,5,1,3
534,41378,2014,5,1,25
535,41396,2014,5,1,333
536,41483,2014,5,1,8
537,41001,2014,5,1,4215
538,41503,2014,5,1,3
539,41518,2014,5,1,5
540,41524,2014,5,1,8
541,41530,2014,5,1,2
542,41548,2014,5,1,15
543,41551,2014,5,1,1052
544,41615,2014,5,1,15
545,41660,2014,5,1,3
546,41668,2014,5,1,7
547,41676,2014,5,1,3
548,41770,2014,5,1,6
549,41791,2014,5,1,8
550,41799,2014,5,1,8
551,41801,2014,5,1,5
552,41797,2014,5,1,22
553,41807,2014,5,1,2
554,41872,2014,5,1,0
555,41885,2014,5,1,3
556,41006,2014,4,2,3
557,41013,2014,4,2,0
558,41016,2014,4,2,10
559,41020,2014,4,2,8
560,41026,2014,4,2,0
561,41078,2014,4,2,0
562,41132,2014,4,2,1
563,41206,2014,4,2,0
564,41244,2014,4,2,0
565,41298,2014,4,2,217
566,41306,2014,4,2,7
567,41319,2014,4,2,10
568,41349,2014,4,2,0
569,41357,2014,4,2,9
570,41359,2014,4,2,
571,41378,2014,4,2,7
572,41396,2014,4,2,140
573,41483,2014,4,2,
574,41001,2014,4,2,414
575,41503,2014,4,2,3
576,41518,2014,4,2,0
577,41524,2014,4,2,2
578,41530,2014,4,2,0
579,41548,2014,4,2,0
580,41551,2014,4,2,390
581,41615,2014,4,2,6
582,41660,2014,4,2,1
583,41668,2014,4,2,1
584,41676,2014,4,2,1
585,41770,2014,4,2,14
586,41791,2014,4,2,12
587,41799,2014,4,2,0
588,41801,2014,4,2,0
589,41797,2014,4,2,6
590,41807,2014,4,2,5
591,41872,2014,4,2,2
