coas_codigo,coas_municipio,coas_anio,coas_cobertura,coas_tipo_poblacion,coas_num_personas
277,41483,2015,2,1,0
278,41001,2015,2,1,129
279,41503,2015,2,1,0
280,41518,2015,2,1,0
281,41524,2015,2,1,23
282,41530,2015,2,1,62
283,41548,2015,2,1,14
284,41551,2015,2,1,736
285,41615,2015,2,1,116
286,41660,2015,2,1,21
287,41668,2015,2,1,239
288,41676,2015,2,1,431
289,41770,2015,2,1,18
290,41791,2015,2,1,8
291,41799,2015,2,1,4
292,41801,2015,2,1,0
293,41797,2015,2,1,5
294,41807,2015,2,1,2
295,41872,2015,2,1,42
296,41885,2015,2,1,2
297,41006,2015,2,2,1861
298,41013,2015,2,2,178
299,41016,2015,2,2,432
300,41020,2015,2,2,1034
301,41026,2015,2,2,72
302,41078,2015,2,2,184
303,41132,2015,2,2,1812
304,41206,2015,2,2,125
305,41244,2015,2,2,12
306,41298,2015,2,2,4286
307,41306,2015,2,2,1124
308,41319,2015,2,2,787
309,41349,2015,2,2,387
310,41357,2015,2,2,304
311,41359,2015,2,2,1120
312,41378,2015,2,2,357
313,41396,2015,2,2,2179
314,41483,2015,2,2,188
315,41001,2015,2,2,17940
316,41503,2015,2,2,473
317,41518,2015,2,2,205
318,41524,2015,2,2,856
319,41530,2015,2,2,582
320,41548,2015,2,2,323
321,41551,2015,2,2,5139
322,41615,2015,2,2,355
323,41660,2015,2,2,532
324,41668,2015,2,2,1261
325,41676,2015,2,2,453
326,41770,2015,2,2,2070
327,41791,2015,2,2,276
328,41799,2015,2,2,177
329,41801,2015,2,2,190
330,41797,2015,2,2,365
331,41807,2015,2,2,182
332,41872,2015,2,2,119
333,41885,2015,2,2,158
334,41006,2015,2,3,5
335,41013,2015,2,3,0
336,41016,2015,2,3,0
337,41020,2015,2,3,3
338,41026,2015,2,3,0
339,41078,2015,2,3,0
340,41132,2015,2,3,4
341,41206,2015,2,3,0
342,41244,2015,2,3,0
343,41298,2015,2,3,50
344,41306,2015,2,3,0
345,41319,2015,2,3,0
346,41349,2015,2,3,1
347,41357,2015,2,3,0
348,41359,2015,2,3,0
349,41378,2015,2,3,0
350,41396,2015,2,3,21
351,41483,2015,2,3,1
352,41001,2015,2,3,336
353,41503,2015,2,3,0
354,41518,2015,2,3,0
355,41524,2015,2,3,3
356,41530,2015,2,3,1
357,41548,2015,2,3,0
358,41551,2015,2,3,49
359,41615,2015,2,3,1
360,41660,2015,2,3,0
361,41668,2015,2,3,0
362,41676,2015,2,3,0
363,41770,2015,2,3,1
364,41791,2015,2,3,0
365,41799,2015,2,3,0
366,41801,2015,2,3,0
367,41797,2015,2,3,0
368,41807,2015,2,3,0
369,41872,2015,2,3,1
370,41885,2015,2,3,1
371,41006,2015,2,4,0
372,41013,2015,2,4,0
373,41016,2015,2,4,0
